--- Log started at Tue Dec 18 14:42:14 2012

000006.416|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.516|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.516|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.516|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.616|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.616|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.616|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.716|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.716|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.716|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.816|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.816|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.816|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.916|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.916|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.916|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.016|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.016|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.016|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.116|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.116|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.116|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.216|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.216|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.216|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.316|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.316|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.316|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.416|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.416|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.416|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.516|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.516|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.516|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.616|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.616|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.616|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.716|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.716|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.716|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.816|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.816|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.816|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.916|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.916|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.916|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.016|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.016|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.016|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.116|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.116|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.116|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.216|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.216|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.216|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.316|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.316|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.317|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.416|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.416|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.416|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.516|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.516|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.516|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.616|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.616|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.616|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.716|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.716|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.716|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.816|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.816|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.816|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000008.916|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000008.916|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000008.916|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.016|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.016|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.016|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.116|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.116|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.116|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.216|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.216|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.216|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.316|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.316|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.316|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.416|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.416|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.416|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.516|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.516|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.516|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.616|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.616|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.616|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.716|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.716|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.716|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.816|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
