--- Log started at Fri Jun 29 21:17:53 2012

000003.965|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.965|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.965|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.065|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.065|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.065|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.165|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.165|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.165|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.265|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.265|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.265|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.365|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.365|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.365|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.465|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.465|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.465|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.565|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.565|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.565|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.665|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.665|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.665|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.765|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.765|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.765|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.865|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.865|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.865|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.965|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.965|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.965|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.065|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.065|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.065|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.165|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.165|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.165|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.265|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.265|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.265|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.365|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.365|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.365|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.465|  229540.0000kb|     12.0000kb added| ALWAYS| Start processing App Update
000005.465|  229540.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.465|  229540.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.517|  229576.0000kb|     36.0000kb added| ALWAYS| Spectator server version retrieved: 1.59.01
000005.565|  229576.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.565|  229576.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.565|  229576.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.614|  229632.0000kb|     56.0000kb added| ALWAYS| Replay metadata retrieved.
000005.614|  229632.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.665|  229640.0000kb|      8.0000kb added| ALWAYS| Start processing App Update
000005.665|  229640.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.665|  229640.0000kb|      0.0000kb added| ALWAYS| Replay ready.
000005.665|  229640.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000005.665|  229640.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000005.665|  229640.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000005.665|  229640.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000005.666|  229640.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2312
000005.666|  229640.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000005.666|  229640.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000005.666|  229640.0000kb|      0.0000kb added| ALWAYS| Started Init render
000005.667|  229652.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.158\deploy\preferences\
000005.668|  229664.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000005.668|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000005.669|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000005.669|  229664.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000005.669|  229672.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000005.669|  229672.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000005.669|  229672.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000005.669|  229672.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000005.669|  229672.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000005.669|  229672.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000005.669|  229676.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000005.670|  229676.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000005.679|  229848.0000kb|    172.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000005.679|  229848.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000005.680|  229884.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.716|  231428.0000kb|   1544.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.721|  231428.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 1
000005.985|  232572.0000kb|   1144.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.990|  232572.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 2
000006.254|  237344.0000kb|   4772.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.259|  237344.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 3
000006.356|  237368.0000kb|     24.0000kb added| ALWAYS| ==== Fetch First KeyFrame Info Phase ====
000006.356|  237368.0000kb|      0.0000kb added| ALWAYS| ==== Fetch All Chunks Phase ====
000006.356|  237368.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000007.389|  263236.0000kb|  25868.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000007.437|  264708.0000kb|   1472.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000007.561|  269860.0000kb|   5152.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000007.636|  271872.0000kb|   2012.0000kb added| ALWAYS| Set focus to app
000007.636|  271872.0000kb|      0.0000kb added| ALWAYS| Input started
000007.653|  272108.0000kb|    236.0000kb added| ALWAYS| Waiting for server response...
000007.753|  272108.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 1
000007.753|  272108.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000007.753|  272108.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000007.754|  272136.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000007.754|  272140.0000kb|      4.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000007.754|  272140.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000007.754|  272140.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000007.754|  272144.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000007.755|  272168.0000kb|     24.0000kb added| ALWAYS| netUID: ffffffff defaultname
000007.755|  272168.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000007.758|  272188.0000kb|     20.0000kb added| ALWAYS| PlayGame Started
000007.884|  277292.0000kb|   5104.0000kb added| ALWAYS| PlayGame Entered
000007.884|  277312.0000kb|     20.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.254|  318176.0000kb|  40864.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.280|  326072.0000kb|   7896.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.280|  326072.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.280|  326072.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.471|  330264.0000kb|   4192.0000kb added| ALWAYS| CurRenderPipeline
000008.474|  330656.0000kb|    392.0000kb added| ALWAYS| CreateParticleSystemManager
000008.701|  345504.0000kb|  14848.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.702|  345504.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019cc383f
000008.852|  353588.0000kb|   8084.0000kb added| ALWAYS| **** Request chunk 2
000008.852|  353736.0000kb|    148.0000kb added| ALWAYS| Requesting chunk id 2 of chunk type 1
000008.852|  354504.0000kb|    768.0000kb added| ALWAYS| Started new chunk.  ChunkID: 2  chunk start time: 0.000000  current time: 0.000000
000008.867|  355768.0000kb|   1264.0000kb added| ALWAYS| **** Request chunk 3
000008.867|  355768.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 3 of chunk type 1
000008.867|  355768.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 3  chunk start time: 0.000000  current time: 0.000000
000008.870|  355768.0000kb|      0.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 4
000010.996|  448732.0000kb|  92964.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000010.996|  448732.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000010.996|  448732.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000010.996|  448732.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000010.996|  448732.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000010.996|  448732.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000010.996|  448732.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000010.996|  448732.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
