--- Log started at Sun Nov 25 21:34:31 2012

000066.071|  783004.0032kb|      0.0000kb added| ALWAYS| **** Request chunk 3
000066.071|  783004.0032kb|      0.0000kb added| ALWAYS| Requesting chunk id 3 of chunk type 1
000066.071|  783004.0032kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 3  chunk start time: 0.000000  current time: 0.000000
000066.085|  783004.0032kb|      0.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 4
000067.296|  782956.0032kb|    -48.0000kb added| ALWAYS| ---- Waiting to fetch 10
000067.383|  782956.0032kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 9698
000077.081|  782956.0032kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 4
000077.163|  782956.0032kb|      0.0000kb added| ALWAYS| ==== Fetch All Chunks Phase ====
000077.163|  782956.0032kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 9698
000077.621|  782956.0032kb|      0.0000kb added| ALWAYS| **** Request chunk 4
000077.621|  782956.0032kb|      0.0000kb added| ALWAYS| Requesting chunk id 4 of chunk type 1
000077.621|  782956.0032kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 4  chunk start time: 0.000000  current time: 0.000000
000077.626|  782956.0032kb|      0.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 5
000086.861|  782956.0032kb|      0.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000086.946|  782956.0032kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 5
000087.071|  783028.0968kb|     72.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000087.172|  783028.0968kb|      0.0000kb added| ALWAYS| **** Request chunk 5
000087.172|  783028.0968kb|      0.0000kb added| ALWAYS| Requesting chunk id 5 of chunk type 1
000087.173|  783028.0968kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 5  chunk start time: 0.000000  current time: 0.000000
000087.173|  783028.0968kb|      0.0000kb added| ALWAYS| PKT_S2C_StartSpawn
000087.173|  783028.0968kb|      0.0000kb added| ALWAYS| Spawning heroes/minions
000087.173|  783028.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000087.184|  783488.0000kb|    460.0000kb added| ALWAYS| Hero Ahri(0) created for Bøjangles
000087.194|  784068.0968kb|    580.0000kb added| ALWAYS| Creating Hero...
000087.231|  784096.0000kb|     28.0000kb added| ALWAYS| Hero Nocturne(0) created for pppjqqq
000087.238|  784236.0032kb|    140.0000kb added| ALWAYS| Creating Hero...
000087.243|  784240.0000kb|      4.0000kb added| ALWAYS| Hero Ashe(0) created for axen343
000087.244|  784240.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000087.247|  784240.0000kb|      0.0000kb added| ALWAYS| Hero Kayle(0) created for NWK SheepHerder
000087.248|  784240.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000087.267|  784460.0032kb|    220.0000kb added| ALWAYS| Hero Sona(5) created for ChefBoyarJeff
000087.285|  785128.0000kb|    668.0000kb added| ALWAYS| Creating Hero...
000087.301|  785128.0000kb|      0.0000kb added| ALWAYS| Hero DrMundo(0) created for chobokiddo
000087.301|  785128.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000087.624|  787248.0000kb|   2120.0000kb added| ALWAYS| Hero Darius(0) created for Mikeycakes
000087.625|  787248.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000087.659|  787924.0968kb|    676.0000kb added|  ERROR| Failed to load .skn file for character [Data/Characters/ezreal_cyber_1/Ezreal_cyber_1.ini], skin [Data/Characters/ezreal_cyber_1/Ezreal_cyber_1.ini]
000087.659|  787928.0000kb|      4.0000kb added|  ERROR| Failed to load 
000087.769|  793504.0000kb|   5576.0000kb added|  ERROR| Failed to load .skn file for character [Data/Characters/ezreal_cyber_2/Ezreal_cyber_2.ini], skin [Data/Characters/ezreal_cyber_2/Ezreal_cyber_2.ini]
000087.770|  793504.0000kb|      0.0000kb added|  ERROR| Failed to load 
000087.868|  795412.0968kb|   1908.0000kb added|  ERROR| Failed to load .skn file for character [Data/Characters/ezreal_cyber_3/Ezreal_cyber_3.ini], skin [Data/Characters/ezreal_cyber_3/Ezreal_cyber_3.ini]
000087.868|  795412.0968kb|      0.0000kb added|  ERROR| Failed to load 
000087.962|  796268.0032kb|    856.0000kb added| ALWAYS| Hero Ezreal(0) created for LegacySmak
000087.962|  796268.0032kb|      0.0000kb added| ALWAYS| Finished spawning heroes/minions
000088.469|  796272.0000kb|      4.0000kb added| ALWAYS| Creating Hero...
